,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
drug_0,0.018808702,0.11554992,-0.23313625,0.020451305,-0.076620296,0.18074083,-0.14354317,0.40681425,-0.017840791,-0.13335754,-0.13429566,-0.10235865,0.076501995,0.2852322,0.39821598,-0.2114595,-0.21091521,0.1703944,0.13830315,0.22384018,-0.18873744,-0.16747732,-0.17339456,0.046047565,0.26751664,-0.43548802,-0.033162266,0.17016844,-0.15194511,-0.03096392,-0.35477594,-0.5148118,0.3695625,0.351425,-0.03357693,-0.516404,-0.050797306,-0.28116903,-0.015337057,0.08883459,-0.15835829,0.5935311,0.405975,0.08196882,-0.37883776,-0.10591186,0.3737647,0.15358755,0.39402777,0.0051872167,-0.22778425,0.119028375,-0.04443963,-0.063691646,0.35185683,0.08441724,0.19526185,0.034454744,0.20493887,0.16958755,0.37495267,0.1158624,0.2937033,-0.18826091,-0.06474151,0.032200392,0.06474966,0.4070004,-0.26897454,-0.091049515,0.18335679,0.06349418,-0.2682865,0.07732894,0.37205353,0.41915038,-0.29967663,-0.04278206,-0.082402475,-0.20886518,-0.13234948,-0.07213288,-0.17957097,0.25006512,0.03696899,-0.22634442,-0.19894184,-0.22699219,0.2971206,-0.1378965,-0.13752432,0.411462,0.000632146,0.13891645,-0.016117848,0.10007768,0.13258499,-0.09197526,0.17108706,-0.27024993,-0.32416284,-0.018199362,-0.151842,0.14926471,-0.050765272,0.20782116,-0.081111446,-0.083428144,-0.24415483,0.021205118,0.030073537,0.15558973,-0.06704722,0.056986008,0.046049144,-0.56077963,-0.35658678,-0.27204832,-0.15370515,0.26794416,0.34807497,0.118302666,0.42612123,-0.23073234,0.07483905,-0.28514263,-0.28073537,0.13471852,0.12286495,0.42560515,0.09906199,-0.038153287,0.009630578,0.13090107,0.21117862,-0.22427072,-0.056400858,-0.3065437,-0.0034911775,0.08105724,0.057881095,0.030464115,-0.09153847,-0.117361695,-0.080458626,-0.28730768,-0.24042764,0.14653674,0.10369121,-0.08650469,0.033730432,-0.062237557,-0.44167906,-0.25622433,0.054811966,-0.057333652,-0.13078922,0.003212693,-0.13120253,-0.07459797,-0.18720703,0.21150593,0.44326928,0.029115684,0.0053981794,0.03946636,-0.13793133,-0.12775686,-0.06877312,-0.3393061,-0.11396546,0.36794454,-0.06359932,-0.32707587,0.1115125,-0.06767402,0.20957947,-0.016294286,0.16163301,-0.1989531,-0.012743917,0.46339226,-0.2362629,-0.15415062,-0.35013616,0.05433364,-0.1270112,-0.022174556,-0.27094197,-0.235631,0.04977609,0.028337076,0.12622128,-0.037372325,-0.16411439,0.0244823,-0.24488765,0.0663649
drug_1,0.13434121,-0.050262168,-0.32088223,-0.0073655425,0.30866387,-0.16008344,-0.053268295,0.20440926,0.031092448,-0.25177553,-0.18338612,-0.19539471,-0.05578488,-0.0066930945,0.2603606,-0.078620195,0.2325907,0.6218781,0.23213667,0.09352087,0.13049132,0.24307272,-0.5767569,0.26452255,-0.06446997,-0.2505574,0.22844191,0.39160964,-0.12859829,0.39946687,0.12425892,-0.005685711,-0.32640138,0.38639325,0.18274865,-0.19926709,-0.24308395,0.17500257,0.26326028,-0.0754646,0.0076403753,0.23054807,0.4611478,-0.3158774,-0.355106,0.41338852,-0.29592228,-0.4047254,0.0083357,-0.14512992,0.14131108,0.6805895,-0.74277055,-0.48969328,0.7369105,0.35464856,-0.23563981,0.20797515,0.087047696,0.34227678,0.50120145,-0.22727022,0.831745,-0.6303814,-0.21707533,-0.056322712,-0.089614086,0.063564405,0.17712823,0.54833305,0.23443952,0.2035396,-0.6068075,0.14898857,0.6809436,-0.28238177,-0.41720846,0.19320531,0.5038171,0.37107226,-0.18774027,-0.045442794,-0.12104222,-0.30201596,-0.30241436,-0.4706987,-0.24498029,0.025165778,0.2667633,0.001602003,0.27553013,-0.010504641,0.2448701,0.40052477,-0.0018498163,0.36026973,0.29138377,-0.2171519,-0.22640607,0.06384756,-0.10991289,0.03468099,0.041288946,0.72830254,-0.049003154,0.41206858,-0.09722177,-0.013686898,-0.5680429,0.18033569,0.06872822,0.377209,-0.49324203,0.621946,0.45603102,-0.76391524,0.28524762,-0.2957989,0.006314572,0.07161182,-0.2890601,0.5440176,0.14194927,-0.4320543,-0.5278325,-0.10728507,-0.34949586,0.39593634,0.042239144,0.37843856,-0.5332888,-0.14337763,-0.38128608,0.09897092,-0.7617684,-0.163171,-0.37144944,-0.27154884,-0.48219597,-0.10275425,0.4064138,0.50752765,-0.22761019,-0.436084,0.45961702,-0.86117154,-0.62216127,-0.36551654,0.19844142,0.16725501,0.10094109,-0.41022825,-0.858351,-0.009634526,0.58917975,-0.22107652,0.20094061,-0.23813812,-0.8253312,-0.18564595,-0.30304986,0.066245385,0.396254,0.12571628,-0.42565313,-0.39242235,-0.70483214,0.14460383,-0.07736468,-0.6516634,-0.22092775,0.005760861,0.26340437,-0.09736643,0.24183804,-0.46558538,-0.375245,0.16031678,-0.44693092,0.06856315,-0.15625308,0.83784306,-0.26110625,-0.2515563,-0.13264154,-0.013747302,0.23339817,0.05355956,-0.36307243,-0.12139509,0.11151342,0.07758627,-0.18868525,0.13102251,-0.2755546,0.13641675,0.24782571,0.43367115
drug_2,-0.4066093,0.13110644,-0.5134424,-0.07369434,0.15853795,-0.0063811964,0.17625146,0.27785218,-0.09116104,-0.091923386,-0.12221321,-0.39356568,0.11850052,-0.18759188,-0.17089255,-0.19819836,-0.14346504,0.20925416,-0.24256234,0.15158059,-0.091006495,-0.41774374,-0.35818636,0.1689952,0.37956837,-0.38755324,0.2826271,0.17456998,-0.2629072,-0.34281233,0.19779707,0.10516014,0.14752683,0.39129692,-0.22774805,-0.48249185,-0.016344354,-0.3414329,0.13287266,0.061158665,0.11026964,0.40023887,0.1444147,-0.26811063,-0.009463848,-0.26382455,-0.1807921,-0.24241291,-0.22762494,-0.12380348,-0.058523208,0.79434603,-0.30598676,-0.506999,0.7283167,0.2590279,-0.03789672,0.036615465,-0.27528346,0.2842133,0.3375485,-0.06729716,0.8209255,-0.651025,-0.17515542,-0.36905968,0.07287843,0.039941583,-0.11943976,0.49449837,0.21525918,-0.04094282,-0.57042783,0.31251755,0.008568345,0.011461147,-0.2424357,0.32505688,0.40278006,0.31060803,-0.059712764,-0.14605185,0.06780385,-0.46509,-0.23641889,0.18346062,-0.6497765,0.17820808,-0.15953204,-0.05785516,0.097149126,-0.12900382,0.5096063,0.5541797,0.3647374,0.23223647,-0.14550382,0.020513885,0.4205192,0.5575141,-0.4654131,0.028576992,0.4367537,0.25492728,-0.08001922,-0.052350845,-0.05920204,0.07026858,-0.026091235,0.011731569,0.013274803,0.18380359,-0.66371787,0.09125866,0.77292234,-0.44872582,0.11192005,0.0662574,0.30439368,-0.13371336,-0.1237654,-0.05596891,0.31546545,-0.39244092,0.21699825,-0.22991641,-0.53483427,0.73419917,-0.082094125,-0.00972225,0.26671398,-0.5392611,0.016495965,0.36673996,-0.18450342,-0.50933516,-0.11915601,-0.5202086,-0.30658904,-0.18118781,-0.076323554,0.13644423,-0.2021214,-0.58314925,0.3696344,-0.83350706,-0.56661326,-0.25776547,0.45076483,-0.24234323,0.080106005,-0.5627635,-0.7121598,0.13921267,0.50905293,-0.19337314,0.004997779,-0.61703396,0.06993173,-0.22657895,-0.124799296,0.7295393,0.4406113,0.08850288,-0.44126296,-0.5899524,-0.699812,-0.21181473,0.09279221,-0.3537119,0.055764105,0.3165331,0.14548214,-0.24854736,0.3635655,-0.3200622,0.21445099,-0.07329303,-0.1055599,-0.35222545,-0.038855378,0.31481078,0.01146757,-0.4968733,-0.4087454,-0.17705885,0.06620256,-0.39706293,-0.3240642,0.19073178,0.24664563,-0.28929627,0.0705855,-0.07901842,0.19637105,0.47449324,0.10009137,0.26790372
drug_3,0.2849003,-0.09028801,-0.039336096,0.20934975,-0.11412325,-0.07819818,0.03444315,0.5897706,-0.20555142,-0.25791,0.060817767,0.011711221,-0.17045532,0.19086942,0.10419363,-0.21980134,0.1243022,0.07895244,-0.007095316,0.14720604,0.13966715,0.0072419387,-0.32820442,-0.016757064,0.20122729,-0.38221353,-0.20138614,0.3927599,-0.1629523,-0.11926836,-0.268249,-0.5897282,0.09184749,0.58852696,-0.18715438,-0.5926734,-0.08533958,-0.10906458,0.163899,0.2302832,0.052486356,0.48398036,0.44255486,0.1388778,-0.11074852,-0.334869,-0.22626519,0.26207188,-0.08562768,-0.3428468,-0.21324942,0.6968736,-0.0848292,-0.041967597,0.2901225,0.15155222,-0.10232554,0.06505346,0.16482115,-0.14884144,0.18498771,0.06728894,0.18081418,-0.17194737,0.061885882,-0.0834649,0.062143676,0.37930685,0.077192575,0.13190758,0.386403,0.09560103,-0.42128298,-0.023423145,0.07315584,0.054770876,-0.27447513,-0.02153858,0.12361578,-0.33437848,-0.1372802,0.085277885,-0.056994606,0.29156792,-0.07933031,-0.061456896,-0.49684608,-0.21120018,0.34399208,0.065044984,-0.17400098,0.46099508,0.05087242,0.4165888,-0.13428073,0.27306944,-0.0751182,-0.037462175,0.20541403,0.11671851,-0.41531202,0.14497,-0.17982417,0.25718147,-0.008848561,-0.2001811,-0.14853874,0.019760385,-0.19557445,-0.035143584,0.40067828,0.14060843,0.30845314,-0.055301227,0.2972529,-0.1704176,-0.25279847,-0.13174176,-0.122138865,0.025487492,0.13049461,0.42744175,0.21069635,-0.098059356,-0.046007447,0.027912233,-0.5400857,-0.038715817,-0.007022236,0.054331776,-0.038040265,-0.055943046,0.058840703,0.2548445,-0.43525392,-0.1357317,-0.18791845,-0.05413518,-0.063795924,-0.05846648,0.1644583,0.14815193,-0.34717593,-0.02987282,-0.0077575557,-0.48023573,-0.1927838,0.26891288,0.088558346,-0.19833921,0.09083557,-0.078532,-0.4236848,-0.16120583,-0.028700091,0.045030553,0.02698949,-0.23308131,-0.34050912,0.04026243,0.021538123,0.19922033,0.33157825,-0.08961556,-0.19292213,-0.051810786,0.19793516,-0.278004,-0.41742578,0.03102667,0.042557403,0.11667862,0.12370834,-0.7303239,0.20342158,0.06994666,0.19794679,-0.054017913,-0.010508478,-0.08189142,-0.24196267,0.5067186,0.12144221,-0.124184296,-0.52920914,0.024035957,-0.27801436,-0.053177,-0.59287125,-0.048556007,-0.17496826,0.17015085,-0.37151134,-0.09688094,-0.14762889,0.12977007,-0.21877803,0.041101772
drug_4,0.28375933,0.3686769,-0.2011694,-0.19272383,0.22794132,0.23515797,0.1756736,0.084059656,0.27694142,0.13545428,-0.15154333,-0.26949695,-0.1342081,0.026807785,0.21334773,-0.38253537,0.31149596,0.10084596,0.08735941,0.15748471,-0.23014301,0.11895557,-0.30777463,0.1602244,-0.08611599,-0.5598506,-0.0035717487,0.013247903,-0.07158334,-0.30305505,-0.25854996,-0.3309917,0.46318653,0.42865565,-0.34535506,-0.49736398,-0.22647989,-0.12639812,0.012093758,0.2096082,0.19417578,0.26293004,0.10895897,0.17167181,-0.11722525,-0.34492284,0.038550034,-0.13242391,0.073789895,-0.11685328,0.049762502,-0.008656445,-0.047198858,-0.38362327,0.22232565,0.015434686,-0.12456714,0.20709255,-0.0485706,-0.16187665,0.21432897,0.0698632,0.46736538,-0.56897956,-0.23107202,-0.20306121,-0.15673697,0.23669095,-0.2647197,0.054423086,0.011553231,0.20094746,-0.3229885,-0.044641834,0.20588002,0.39807913,0.07534479,0.21967876,0.11106619,-0.07567705,-0.24462312,-0.12577859,-0.3108524,-0.22079085,-0.17996784,-0.34553242,-0.2687375,-0.026585583,0.22620228,-0.39614668,-0.12865332,-0.23455435,0.27347955,0.31172588,0.5026648,-0.06137279,-0.05389346,-0.14848945,0.44390497,-0.061951768,-0.2019649,-0.039498977,0.118577935,0.23727052,-0.22108924,0.20379105,-0.107967794,0.030751055,-0.17396091,-0.1053388,0.25474614,0.027975475,0.057934083,0.43015003,-0.021086993,-0.4534326,-0.10561799,-0.15564914,-0.012911967,0.27916437,0.51322675,0.02719962,0.21269475,-0.40164798,0.33866122,-0.3023712,0.07614706,-0.10511193,-0.059838988,-0.14870803,0.0877731,-0.16837345,0.1360136,-0.11441876,0.009317695,-0.10225184,0.047448114,-0.10673727,-0.14474644,0.46971446,0.09984566,-0.26632205,0.009027158,0.023261636,0.60786766,-0.687985,-0.14403331,0.14302085,0.14847313,-0.0551755,-0.06421443,0.0817145,-0.25334463,-0.124133356,-0.01753009,0.23458436,0.10699007,-0.10792055,0.050475072,0.12391455,-0.325301,0.533804,0.43806514,-0.06866989,-0.4465575,0.09719546,-0.17036718,0.41174033,0.09615904,-0.13867784,0.40256307,0.080601886,-0.08779685,-0.35018378,-0.15846592,-0.4404338,0.1403873,-0.086483546,-0.003580885,-0.024393776,-0.09546605,0.46578422,-0.077426836,0.20175612,-0.33470535,-0.15801525,-0.13154684,-0.31973985,-0.51372504,-0.042899024,-0.27854452,0.15895465,0.09915205,0.2786031,-0.16136955,0.15567532,-0.3707027,0.08371033
drug_5,-0.045230895,-0.073736235,-0.2690145,-0.0028319908,-0.32941756,-0.031557865,-0.09709389,0.43134344,0.051201474,-0.051967204,0.06112016,0.09740545,-0.13647546,0.13910063,0.33279586,-0.027388219,-0.1410888,0.22854361,0.10031684,0.07524103,-0.20764863,-0.043850515,-0.24816194,0.058863282,0.36650237,-0.32613024,-0.09763835,0.30494815,-0.20077436,-0.15450116,-0.21907724,-0.5135694,0.2523095,0.17475387,-0.21552205,-0.592298,-0.0031090933,-0.23462392,-0.022719061,0.21565953,-0.25987616,0.52587223,0.46620208,-0.021419493,-0.38802606,-0.097589515,0.22033693,0.013197556,0.21448843,-0.2806349,-0.12808335,0.25758457,0.17836384,0.014142129,0.4062905,0.18329924,-0.089440435,0.25111732,0.11432247,0.21719238,0.6511952,0.1572742,0.24056761,-0.077842556,-0.3833603,0.0009417161,-0.027407048,0.47953695,-0.16192703,-0.11354637,0.33389753,0.07679866,-0.20347929,0.05975101,0.35954976,0.37332353,-0.26290613,-0.105716564,-0.112843655,-0.24901241,0.10714316,-0.19035871,-0.23136902,0.30870542,0.31721804,-0.13061756,-0.287221,-0.10383212,0.31357807,0.01269898,-0.20075801,0.42462978,0.23351417,0.32783675,-0.25789928,0.19755393,0.2310958,-0.03111685,0.021459756,-0.12654363,-0.37756586,-0.074875005,-0.21451068,0.113976926,0.014569206,0.27799055,-0.044829696,-0.09523199,-0.114581004,-0.09131759,-0.09115113,0.18924789,-0.11592904,0.10598922,0.27460217,-0.6338281,-0.020708887,-0.37872112,-0.22482063,0.18868968,0.39560643,0.22305577,0.33021358,-0.39259994,0.09540757,-0.31075788,-0.21908784,0.09446189,0.17693387,0.32967994,-0.25474396,-0.09077439,0.08621408,0.14691597,0.21153912,-0.15950717,-0.095997214,-0.20149174,0.024526794,0.012797985,0.028721182,0.2842685,-0.16048414,-0.18918112,-0.0471582,-0.321839,-0.4814859,0.0006691387,0.20817825,-0.16419004,0.0369676,-0.23199956,-0.45510855,-0.10434247,0.22999707,-0.06638208,-0.25496307,0.040462222,-0.13768232,0.16613396,-0.060274165,0.22227053,0.4884051,0.089158095,0.08226051,0.017372267,-0.17393333,-0.06588827,-0.17729679,-0.22623058,-0.017090438,0.3225677,0.20895869,-0.28948927,0.25575247,-0.07677814,0.29712045,0.035692666,0.12478696,-0.25104547,-0.15149619,0.35044315,-0.4348448,-0.083904296,-0.36500573,0.19756052,-0.23851067,0.0023934362,-0.31478348,-0.06499129,-0.044361603,0.088171974,0.16707908,0.028464198,-0.13368806,-0.049143627,-0.22443542,0.12931986
drug_6,-0.10105096,0.24409427,-0.010777311,0.29595464,-0.08396395,0.25692907,0.43024856,0.35541445,0.53759086,-0.019396324,0.2627349,-0.17450579,-0.16963197,-0.17075205,0.10110207,0.14224456,0.20509955,0.0990149,-0.0928251,0.018622426,-0.39787084,0.053708054,-0.45675445,-0.17172241,0.20680419,-0.47073334,0.3731505,0.05628888,-0.4095697,0.0615762,-0.36379182,-0.3196742,0.21870695,0.40385547,-0.1701694,-0.43084097,0.12260612,-0.18272577,0.0015370032,-0.112578064,0.31977803,0.15397987,0.20709838,-0.5639475,-0.48249716,0.124126084,0.312672,-0.6068979,-0.42006037,0.04024711,0.34582776,0.68525606,-0.004038829,-0.6612089,0.79240686,0.05127515,-0.19455475,0.07835478,-0.19802323,-0.23504469,0.46285084,-0.25943992,0.09428144,-0.37054864,-0.044071097,-0.050482918,-0.27232984,0.25966468,-0.122457385,0.38482055,0.5447542,-0.03420493,-0.6449166,0.0054213963,0.7945385,-0.16800357,0.1629648,0.38826826,0.33576465,0.044242483,-0.16381761,-0.3322003,-0.06392471,-0.381487,-0.5286577,-0.21977766,-0.42923236,-0.12544462,-0.13677654,-0.33951765,0.11384891,0.44476172,0.38705325,0.6681262,0.27045694,0.620035,-0.16244999,-0.044592407,0.44126722,0.53341717,0.04422141,0.11641318,0.17257684,0.010221561,-0.03028885,-0.07957196,-0.6517004,-0.1419239,-0.36144602,0.18853083,-0.079589635,0.22063076,0.008551547,0.26170447,0.26937273,-0.5265577,-0.32518423,0.3618942,0.0837525,-0.23621346,-0.09044146,0.1884604,-0.4672378,-0.52870166,-0.36898622,-0.17970148,0.012732134,0.5423013,0.08136398,0.15402964,-0.19588353,-0.35890296,-0.010564843,-0.21954523,-0.14545234,0.010106856,-0.13510203,-0.15786703,-0.12150071,0.040990267,-0.11130977,0.81243426,0.3719786,-0.4033658,0.15184239,-1.0031589,-0.23386517,0.16607772,0.22597902,-0.14456576,0.04460705,-0.6591755,-0.4418111,-0.05386448,0.26628727,0.08024734,-0.2057331,-0.35494766,-0.23420718,-0.006344919,0.28801298,0.27514306,0.37847385,0.5509865,-0.3054923,0.05064615,-0.63470805,-0.2165068,-0.06478372,-0.53034747,0.1997612,0.2147893,0.17532521,-0.10784029,0.15563925,-0.45402518,-0.17008775,0.10387845,-0.02198659,-0.24753387,-0.197272,0.6379946,-0.24295695,-0.25545824,-0.63780373,-0.022916757,0.08221459,-0.5010423,-0.20086834,-0.42211065,0.082587756,0.30779448,0.12569787,-0.13267241,-0.1502001,0.4759024,0.04893751,0.06411318
drug_7,-0.031976886,0.08943485,-0.43296254,0.08207813,-0.101224005,0.012663957,-0.07479133,0.5301233,-0.18363902,-0.30303064,0.14189415,-0.059841365,-0.16614069,0.22814834,0.3730321,-0.3703046,-0.094690755,0.19433352,0.022710115,0.07399995,-0.13217965,-0.25105447,-0.2542771,-0.08554415,0.3718426,-0.5219998,0.08639153,0.003656031,-0.1004079,-0.03448276,-0.4672115,-0.44838846,0.4778127,0.31062037,-0.16176602,-0.3736358,-0.13551524,-0.36937913,-0.034091514,0.051799536,-0.2464782,0.70480376,0.41955242,0.10974429,-0.38834926,-0.06766188,0.3127364,-0.14925562,0.3151302,-0.06865419,-0.11456043,0.19718225,-0.11370443,-0.06846905,0.45689428,-0.037363585,0.24049485,0.06777974,0.10000255,0.2594534,0.4180536,0.24258314,0.48907346,-0.139431,-0.11728923,0.03717261,0.16562887,0.43285316,-0.46768075,0.11269685,0.28562242,0.1496784,-0.28100735,0.21347263,0.24995309,0.2959796,-0.46056452,-0.07282596,0.049627256,-0.13191679,0.071013905,-0.15764281,-0.05665129,0.31969857,0.018181687,-0.19711368,-0.28804457,-0.19646893,0.36069292,-0.06794162,-0.25759223,0.44258678,-0.06499823,0.21704167,-0.043888386,0.04230581,0.2458423,-0.07403404,0.13143204,-0.2841492,-0.13738692,-0.117140844,-0.14952426,-0.04715195,-0.039195422,0.22329156,-0.30239737,-0.19087397,-0.38462266,-0.04514055,-0.0810565,0.10306813,-0.20066233,0.03910844,0.13716349,-0.3493767,-0.29617494,-0.3757805,-0.08242459,0.21400496,0.13070598,0.24157177,0.32371897,-0.33001944,-0.04761959,-0.2023185,-0.3138523,0.17209165,-0.012898491,0.4282359,-0.022647474,-0.12920104,-0.08210586,0.16483736,0.35484448,-0.2847597,-0.21124455,-0.21048462,-0.058212254,0.00038406783,0.14042851,0.0048556942,0.07999898,0.0074244947,0.037448324,-0.03138189,-0.2535496,0.21683297,0.22121029,-0.008843081,0.06678913,-0.04271974,-0.40292728,-0.17577171,0.20910276,-0.07574374,0.026500557,0.08263747,-0.19369505,0.058459375,-0.36135134,0.20663211,0.33487812,0.06199187,-0.052304972,-0.010939161,-0.2396769,-0.17948669,0.02066843,-0.202449,-0.0083202645,0.08696352,-0.068774045,-0.4736739,0.09637719,0.07197652,0.14645895,0.0347526,0.25702256,0.026658392,0.010631667,0.6119643,-0.29962984,-0.13547924,-0.32630524,0.06454688,-0.23621185,-0.07381999,-0.38682744,-0.21601024,0.018146168,0.11430197,0.11893665,0.1394013,-0.266138,0.037517466,-0.19606501,0.031776838
drug_8,0.43486997,0.04102409,-0.2192136,-0.0037507995,0.10873496,0.11542334,-0.0023228452,-0.0025956542,0.28976038,0.04797332,-0.090290695,-0.038126677,-0.34100413,0.10655474,0.24295767,-0.37753758,0.37174794,0.019723548,-0.0017558959,-0.15428765,-0.15687636,0.07744552,-0.22117095,0.0014505726,0.029924193,-0.61092,-0.034130834,0.10589589,-0.14702368,-0.12037158,-0.10100079,-0.27136227,0.4114973,0.36953428,-0.24360973,-0.22707394,-0.22725986,-0.10387089,0.11235941,0.18716484,0.059117306,0.39422992,0.12043446,0.30020222,-0.16519651,-0.18244556,0.09496449,0.0014371093,0.1986403,0.109304905,-0.009349855,0.13110267,-0.093062915,-0.36814708,0.42891994,0.24218902,-0.21158108,0.17610657,-0.028458972,0.09241271,0.14356092,-0.14882387,0.49979928,-0.6801415,-0.15087594,-0.22464043,0.013588665,0.18997245,0.086835966,0.10955196,0.24254571,0.27824458,-0.3821815,0.16087034,0.12987481,0.3905659,-0.053819433,0.06839179,0.052437637,-0.10865433,-0.2567479,-0.20235384,-0.13616656,-0.10829595,-0.13851936,-0.582212,-0.42539158,0.1653355,0.15840742,-0.2789993,-0.1722229,-0.17867467,0.18121362,0.41885388,0.43787158,-0.116313465,-0.074023575,-0.12457389,0.21548462,-0.1535979,-0.2009439,0.08343257,-0.006262419,0.26966378,-0.08227677,0.06265349,-0.29142317,-0.068712525,-0.264738,-0.07973375,0.26062837,-0.018803442,-0.06477815,0.4481659,-0.07239645,-0.48066926,0.014473756,-0.27810717,0.060609553,0.005052535,0.3226716,0.09605964,0.13695374,-0.44837195,0.21473166,-0.09680732,0.12647109,-0.051818024,0.0761927,-0.02540294,-0.06758066,-0.13926776,0.22880416,0.011755502,-0.04584748,-0.13318229,0.16100088,-0.080618106,-0.07564805,0.44850478,-0.013326363,-0.1226431,-0.23398857,0.01777945,0.5793791,-0.62438136,-0.027802026,-0.18538295,0.21930711,-0.12506469,0.099737294,0.09142669,-0.24135157,-0.10970734,-0.01712099,-0.013332041,0.21329767,0.06558027,-0.27381703,0.011209333,-0.24615622,0.2811912,0.25142834,0.22375701,-0.19412449,0.092832774,-0.04458916,0.3627718,-0.10426331,-0.3621215,0.34954938,0.116569854,-0.03068596,-0.3580749,-0.088735946,-0.32479385,0.26893857,-0.16431183,-0.19368367,-0.007982217,0.06997327,0.41421378,0.06603035,0.1737803,-0.34684968,-0.208066,-0.25706527,-0.2837859,-0.55929923,-0.07352554,-0.33212516,0.12236172,-0.10134718,0.37106317,-0.21858539,0.0013811232,-0.052052926,-0.002263541
drug_9,0.26703757,0.109918535,-0.09397842,-0.040971998,0.18608786,0.05442008,0.11259252,0.12770055,-0.21330963,0.12605202,0.20852797,0.034303214,-0.026838943,-0.26824638,0.0047054747,-0.3716524,0.5392176,-0.014450004,-0.1641982,-0.099884905,-0.1143945,0.043490164,-0.35782957,0.063933596,-0.13069472,-0.62462676,0.33581764,0.06268325,-0.28965083,-0.04869299,-0.1457623,-0.18203805,0.3245273,0.15948658,-0.038681965,-0.5837133,-0.2326288,-0.48931694,0.19246425,0.15895465,0.24660118,-0.119539715,-0.04862915,-0.010722702,-0.14735554,-0.23743,0.23433493,-0.13305616,-0.0026134504,0.029776363,0.19364725,0.44897956,-0.33690828,-0.3948876,0.22471197,0.1790196,-0.38760108,0.2953315,-0.45569962,-0.051071092,0.16222571,-0.41503602,0.6807212,-0.5564904,-0.18220474,-0.4725203,-0.21605888,-0.08711335,0.09378884,0.11833537,0.2968174,0.37330312,-0.545313,0.19164993,0.19464484,0.46359986,0.12534863,0.3666298,0.43674952,-0.0061648935,-0.29441208,-0.19964552,0.015963165,-0.4066524,0.07673918,-0.35726365,-0.05556741,-0.07201164,0.20028391,-0.81124836,-0.11086653,0.007458696,0.057955477,0.33853707,0.38422444,-0.07986784,0.031452794,-0.44217274,0.0368083,0.14591286,-0.07397741,-0.08454727,-0.038627055,0.24762912,-0.009277922,0.37234223,-0.5108626,-0.026427854,-0.39447144,0.017618954,-0.05024462,0.17329413,-0.23707375,0.56497514,0.008125448,-0.53144413,0.20720392,-0.31715652,0.018019412,0.15406747,0.107463345,0.08778223,0.002791878,-0.42017826,-0.08336892,-0.2443628,0.026105775,0.2586855,0.04313609,0.24852432,-0.13986051,-0.269978,0.038702734,0.21231613,-0.23971426,-0.11473492,-0.19426921,-0.078082405,-0.05816675,0.54745805,0.1455476,-0.33172557,-0.03507819,0.12306143,0.44328028,-0.8400564,-0.21659423,-0.045295388,-0.0830927,0.20536974,0.027931297,-0.043398406,-0.42135727,-0.013420101,0.16313097,0.00702164,-0.056233425,-0.13166465,0.14308836,0.23393154,-0.19327886,0.18774742,0.2703347,-0.055790152,-0.3181807,-0.3102495,-0.19318028,0.40603796,0.021711603,-0.57546145,0.26150984,0.37115762,-0.024116477,-0.30577564,0.21426757,-0.2626295,0.013416579,-0.27900222,-0.11620215,0.014172786,0.41950837,0.6578341,-0.34930456,-0.10678618,-0.5836008,-0.5726254,0.0034274533,-0.26282108,-0.51867986,-0.10680701,-0.073249646,-0.09863717,0.11630157,0.30547896,0.06880393,0.28742212,0.14276277,-0.11165837
